strategy,day_index,release_hour,start_slot,inherited_actual_soc_kwh,downward_kwh,upward_kwh,downward_cost_yuan,upward_cost_yuan,expected_keep_emergency_cost_yuan,expected_revised_emergency_cost_yuan,expected_gross_saving_yuan,applied
S1,0,6,36,1200.0,0.0,52090.95185156855,0.0,55483.831370209446,207239.33903170924,0.0,207239.33903170924,True
S1,1,6,36,10598.60153740741,23.698213288031866,50.881233914008135,4.989230849090111,59.24743671035092,354.94748778393677,0.0,354.94748778393677,True
S1,2,6,36,10800.0,4404.937978453617,2.1827872842550278e-11,1114.774070577789,2.816123014781624e-11,0.0,0.0,0.0,True
S1,3,6,36,10146.291089999999,201.91413694319158,431.77368436701363,41.14691299107074,446.82099726720423,2085.603876999947,1.1558611845430276e-12,2085.6038769999454,True
S1,4,6,36,3600.63866740741,0.0,27756.519608139497,0.0,32603.782389299125,132652.181814107,0.0,132652.181814107,True
S1,5,6,36,10731.296419259259,0.0,701.9434435276936,0.0,993.2409694201673,3363.626261773956,3.9653968997299674e-12,3363.6262617739517,True
S1,6,6,36,10781.178074074074,49.52785159665575,4095.063186457848,10.066164378235419,4391.966223551082,24330.515685319515,1.1103111319243908e-11,24330.515685319504,True
S1,7,6,36,10375.821977037036,0.0,692.6020050082757,0.0,949.4744752910045,3149.711164812683,0.0,3149.711164812683,True
S1,8,6,36,10606.446736481486,29.16150899209333,715.6974930107057,5.926857991329296,878.4335455806922,4590.726541904753,0.0,4590.726541904753,True
S1,9,6,36,10066.629323333333,91.40596132533005,0.0,18.62709166608133,0.0,0.0,0.0,0.0,True
S1,10,6,36,10065.239314074075,71.68883989030735,1000.8094407171632,14.609053640594562,1044.8531137888579,6002.360953982916,1.0424514584883581e-12,6002.360953982915,True
S1,11,6,36,10800.0,76.66311315378903,2360.700333770505,15.581202775229071,2905.018849442305,11919.084393859057,0.0,11919.084393859057,True
S1,12,6,36,10800.0,0.0,99.14922213538796,0.0,93.1452639551073,496.51944044004375,0.0,496.51944044004375,True
S1,13,6,36,10309.882925370372,0.0,1147.0204780478848,0.0,1374.3362250476182,6484.318209882038,5.592823981714901e-13,6484.318209882037,True
S1,14,6,36,10800.0,259.2148508132135,3637.2733193065396,52.68347431640507,3961.213105412692,22134.456373470384,0.0,22134.456373470384,True
S1,15,6,36,10770.353055555555,0.0,3700.8304399147046,0.0,4481.640020070859,20944.162829849738,5.551555659621954e-12,20944.16282984973,True
S1,16,6,36,10193.260564814815,0.0,75.6487978369779,0.0,94.24592196403898,292.2450794145209,0.0,292.2450794145209,True
S1,17,6,36,10168.93312962963,0.0,139.0343397368738,0.0,172.5642301248189,721.984560345886,0.0,721.984560345886,True
S1,18,6,36,10800.0,258.41799382432237,1181.4072142981133,55.11074155504229,1143.1137414173104,6644.13485315436,0.0,6644.13485315436,True
S1,19,6,36,10778.118101851853,59.676356499659164,989.596542422425,12.726699914843419,1106.7808631190537,5942.130926032071,0.0,5942.130926032071,True
S1,20,6,36,10738.854888888889,0.0,646.0958973350121,0.0,882.6797860787393,3019.8192587725334,0.0,3019.8192587725334,True
S1,21,6,36,10800.0,37.34672908330913,281.42253596683156,7.590442585784995,408.11326017684127,1417.8231431782715,0.0,1417.8231431782715,True
S1,22,6,36,10800.0,23.938051085603206,1397.1691881730294,5.105076961499637,1971.7733712274658,6751.7854796951115,0.0,6751.7854796951115,True
S1,23,6,36,9560.917169753082,259.7114810230165,4.547473508864641e-13,55.32542406419201,7.934858103908483e-13,0.0,0.0,0.0,True
S1,24,6,36,9739.671017654317,47.642075756112376,3656.4710038560033,10.149023963525265,2647.639926717963,20342.99172692407,0.0,20342.99172692407,True
S1,25,6,36,10750.150185185184,0.0,787.3803628007754,0.0,1101.4262005135072,3831.0476711866318,0.0,3831.0476711866318,True
S1,26,6,36,10800.0,12.952753956804486,3164.9298085681257,2.6325500960663195,3466.589481080414,19255.402646190683,2.1413143258541823e-11,19255.40264619066,True
S1,27,6,36,10622.454559938267,121.9317232711968,499.3583765316749,24.78170826695224,655.9882230521082,2859.6161723811874,0.0,2859.6161723811874,True
S1,28,6,36,9862.593067901234,106.50190272393434,3601.5108327933867,21.64571296436651,3976.712192286658,21046.472220148193,0.0,21046.472220148193,True
S1,29,6,36,10766.611944444443,55.22621493301733,4174.251027807773,11.22431398852399,4356.777650359558,24730.878600256947,4.0447048377245666e-11,24730.878600256907,True
S1,30,6,36,9625.182092592593,294.68985221819366,1919.516394932296,60.05313888440126,1280.8884915611814,10290.235775762249,0.0,10290.235775762249,True
S1,31,6,36,9642.039444444445,673.9130604185314,5.684341886080802e-14,137.3328409807638,1.15022658064845e-13,0.0,0.0,0.0,True
S1,32,6,36,10731.87053032302,787.2627024396675,0.0,160.00523980059418,0.0,0.0,0.0,0.0,True
S1,33,6,36,10800.0,638.4074494044078,0.0,129.75152603557535,0.0,0.0,0.0,0.0,True
S1,34,6,36,10800.0,1094.068577487585,2.2737367544323206e-13,222.3612328600205,3.091713551839348e-13,0.0,0.0,0.0,True
S1,35,6,36,10800.0,689.7368407949152,0.0,140.18383986526055,0.0,0.0,0.0,0.0,True
S1,36,6,36,10800.0,892.8258539115565,0.0,181.4601586136197,0.0,0.0,0.0,0.0,True
S1,37,6,36,9733.330237199456,734.6899248020683,2.8421709430404007e-13,156.46928791635136,5.307668970999657e-13,0.0,0.0,0.0,True
S1,38,6,36,8671.559308043918,462.2501556797024,5.684341886080802e-14,98.4715261180595,1.0424514584883581e-13,0.0,0.0,0.0,True
S1,39,6,36,10800.0,490.50259792056715,129.23131642524106,104.60557140789959,133.51927080620146,774.6480975639007,0.0,774.6480975639007,True
S1,40,6,36,9876.344350623242,220.99814822275584,0.0,47.13050995638715,0.0,0.0,0.0,0.0,True
S1,41,6,36,9922.781959522852,572.209483138082,0.0,122.03054622428571,0.0,0.0,0.0,0.0,True
S1,42,6,36,10108.18751501884,538.639396207841,0.0,113.86236057064886,0.0,0.0,0.0,0.0,True
S1,43,6,36,9914.944389223965,304.38867508384817,2.2737367544323206e-13,64.3443708722817,4.1698058339534324e-13,0.0,0.0,0.0,True
S1,44,6,36,8434.632340673952,202.91874848996463,176.1198564830343,42.78746310657094,202.07343113142625,1076.6206826805962,6.254708750930149e-12,1076.6206826805899,True
