strategy,plan_purchase_kwh,actual_contract_grid_used_kwh,emergency_purchase_kwh,total_physical_grid_purchase_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_interval_count,emergency_day_count,pv_consumed_kwh,pv_curtailed_kwh,pv_available_kwh,charge_kwh,discharge_kwh,unused_contracted_energy_kwh,saving_vs_original_ratio,final_contracted_purchase_kwh,downward_adjustment_cost_yuan,upward_adjustment_cost_yuan,downward_adjustment_kwh,upward_adjustment_kwh,total_adjustment_kwh,adjustment_interval_count,adjustment_event_count,event_triggered
A_不考虑动态电价,20829487.84239137,19976219.284280077,61102.80640690753,20037322.090686984,17371159.690800074,0.0,273254.816421043,17644414.507221118,819,19,17341465.546743408,1727424.4475399218,19068889.994283333,1953262.8006854185,1582554.6525050178,853268.5581112923,0.0,,,,,,,,,
B_动态电价+储能优化,21953760.210280098,20604194.59780509,182332.73736870784,20786527.335173797,13921321.056307044,0.0,1217118.0395958142,15138439.095902858,1087,154,17583375.918104485,1485514.076178846,19068889.994283333,7168086.846024407,5806263.081996121,1349565.6124750117,0.1420265552190847,,,,,,,,,
C_动态电价+滚动MPC,20397769.08540154,20410654.09137743,71027.6774613105,20481681.76883874,12868055.338555086,1118528.4300571617,358481.9832798307,14345065.751892079,1310,267,17860591.21462111,1208298.7796622175,,7020754.523427928,5686561.02921807,732843.3732119494,0.18699111574253452,21143497.46458938,36253.56279599645,1082274.867261165,182020.166263805,927748.5454516475,1109768.7117154524,17158,969,False
