strategy,plan_purchase_kwh,final_contracted_purchase_kwh,actual_contract_grid_used_kwh,emergency_purchase_kwh,total_physical_grid_purchase_kwh,plan_cost_yuan,downward_adjustment_cost_yuan,upward_adjustment_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,downward_adjustment_kwh,upward_adjustment_kwh,total_adjustment_kwh,adjustment_interval_count,adjustment_event_count,emergency_interval_count,emergency_day_count,unused_contracted_energy_kwh,charge_kwh,discharge_kwh,pv_consumed_kwh,pv_curtailed_kwh,event_triggered
S0,20379830.849218786,20379830.849218786,19783582.252772197,578036.0225965685,20361618.275368765,12330794.494594097,0.0,0.0,0.0,3425744.067215649,15756538.561809747,0.0,0.0,0.0,0,0,3212,301,596248.596446587,6642572.364517987,5381073.36433905,17907960.21406017,1160929.7802231656,False
S1,20357977.942468833,20988523.47833668,20220180.691128127,201464.64960381403,20421645.34073194,12326183.04260017,9903.79085680054,713988.1951164899,723891.9859732904,1148193.0329872782,14198268.061560739,47645.06509887449,678190.6009667234,725835.6660655979,8839,334,2151,283,768342.7872085551,6692474.427576928,5422058.62750508,17856849.948589906,1212040.0456934262,False
S2,20357464.48874011,21060923.50736373,20266742.250429887,161894.9132964089,20428637.163726296,12325161.133909142,15345.4871251475,820691.5929478032,836037.0800729506,875009.7306439534,14036207.944626046,73705.40852084896,777164.4271444684,850869.8356653174,13603,648,1972,276,794181.2569338402,6717620.231329182,5440903.186709665,17856159.370143216,1212730.6241401157,False
S3,20353039.54288651,21097646.00372752,20381450.962069828,61117.04576650433,20442568.00783633,12317145.702219877,39791.41622034811,1023364.3653385704,1063155.7815589188,330486.6975875264,13710788.181366324,174703.35461439536,919309.8154554085,1094013.170069804,17636,972,1107,251,716195.041657696,6773873.756664565,5486793.5230359975,17852591.715042237,1216298.279241097,False
S3E,20442244.99710356,21317885.17577424,20443252.29380672,60441.455386636255,20503693.749193355,12359701.235481396,5830.948033750439,1014138.7510996752,1019969.6991334257,327311.0637138893,13706981.998328712,28528.91632672071,904169.0949974,932698.0113241207,16716,563,1103,251,874632.8819675206,7127123.189674514,5773348.605577616,17858160.324153543,1210729.6701297928,True
